#SRC: https://www.svenskamagic.com/turneringar/pairings.php?ID=2111&round=1
# table; player a; player b
1;Qvarfordt, Kalle;Sundlöf, Tom
2;Larsson, David K;Granfeldt, Tobias
3;Sellberg, Linus P;Bergström, Jonathan
4;Lundström, Per;Tunving, Hannes
5;Ryding, Erik A;Almgren, Oscar
6;Käll, Tim;Clemedtson, Christopher G
7;Bergenfeldt, Björn;Karström, Kristoffer K
8;Rönnkvist, Per;Neumann, Mats
9;Elfgren, Rikard;Thor, Patrik
10;Sahlin, Markus;Wall, Oscar
11;Kjellberg, Magnus;Akman, Per
12;Gröndahl, Erik;Ström, Joakim
13;Jordö, Martin;Sköld, Oskar
14;Larsson, Joel;Elfgren, Bertil
15;Londos, Ludvig J;Blomstergren, Viktor j
16;Sanfridsson, Peter H;Westling, Tomas
17;Thille, Carl;Pettersson, Mikael
18;Haglund, John E;Jonsson, Anton
19;Melin, Elias;Bloch, Felix M
20;Luc, John;Naslund, Emkan
21;Fallgren, David;Ljungberg, William
22;Nyström, Per;Persson, Marcus
23;7 Ingvarsson, Per;Agerberg, Mattias
24;Sadeghpour, Johan;Marklund, Christian
25;Almelund, Joakim;Dubber, Wilhelm
26;Carlsson, Fredrik;Persson, Fredrik
27;5 Akerstrom, Janne A;Pettersson, Niklas
28;Karlsson, Rickard;Englund, Simon E
29;Olsson, Marcus;Rocking, Erik
30;3 Lefvert, Jonas;Ström, Tobias
31;Janse, Love;Stenlund, Rikard
32;Westberg, Jon;Sjögren, Emil
33;Thorén, Jens;Anderson, Mattias
34;Israelsson, Daniel;Zander, Bernhard
35;Blennow, William;Kettil, Mattias
36;Eriksson, Johan;Breidenskog, Alexis
37;Naslund, David;Eklundh, Erik
38;Bengtsson, Mattias;Holmbom, Markus
39;Trobäck, Ludvig;Ljungberg, Ludwig
40;Hedbäck, Tore;Sjöblom, Fabian
41;Niemi, Christoffer;Eriksson, Jonas
42;Törnros, Mats;Mattsson, Magnus
43;Wu, Pak Yue;Pettersson, Thomas
44;Oberg, Kenny;Watsfeldt, Elias
45;Jernmo, Johan;Torstensson, Benny
