#SRC: https://www.svenskamagic.com/turneringar/pairings.php?ID=2111&round=2
# table; player a; player b
1;Ingvarsson, Per;Persson, Marcus
2;Rönnkvist, Per;Pettersson, Niklas
3;Sanfridsson, Peter H;Söderlund, David
4;Thor, Patrik;Blennow, William
5;Mattsson, Magnus;Hedbäck, Tore
6;Sjögren, Emil;Ryding, Erik A
7;Gröndahl, Erik;Melin, Elias
8;Olsson, Marcus;Niemi, Christoffer
9;Kjellberg, Magnus;Karlsson, Rickard
10;Ström, Tobias;Larsson, Joel
11;Torstensson, Benny;Sundlöf, Tom
12;Sellberg, Linus P;Jonsson, Anton
13;Persson, Fredrik;Larsson, David K
14;Israelsson, Daniel;Eklundh, Erik
15;Ljungberg, William;Bengtsson, Mattias
16;Watsfeldt, Elias;Sadeghpour, Johan
17;Sahlin, Markus;Stenlund, Rikard
18;Londos, Ludvig J;Karström, Kristoffer K
19;Luc, John;Anderson, Mattias
20;Almelund, Joakim;Breidenskog, Alexis
21;Käll, Tim;Thille, Carl
22;Jordö, Martin;Pettersson, Thomas
23;Lundström, Per;Ljungberg, Ludwig
24;Trobäck, Ludvig;Tunving, Hannes
25;Elfgren, Rikard;Pettersson, Mikael
26;Sköld, Oskar;Lefvert, Jonas
27;Fallgren, David;Eriksson, Jonas
28;Thorén, Jens;Akman, Per
29;Naslund, Emkan;Törnros, Mats
30;Blomstergren, Viktor j;Wall, Oscar
31;Bergenfeldt, Björn;Zander, Bernhard
32;Qvarfordt, Kalle;Westling, Tomas
33;Holmbom, Markus;Almgren, Oscar
34;Naslund, David;Dubber, Wilhelm
35;Nyström, Per;Englund, Simon E
36;Akerstrom, Janne A;Sjöblom, Fabian
37;Rocking, Erik;Westberg, Jon
38;Marklund, Christian;Neumann, Mats
39;Elfgren, Bertil;Janse, Love
40;Clemedtson, Christopher G;Haglund, John E
41;Wu, Pak Yue;Kettil, Mattias
42;Oberg, Kenny;Ström, Joakim
43;Bergström, Jonathan;Granfeldt, Tobias
44;Jernmo, Johan;Carlsson, Fredrik
45;Agerberg, Mattias;Eriksson, Johan
